	1ATP_AGC	3NX8_AGC	1GZK_AGC	1H1W_AGC	1OMW_AGC	1VZO_AGC	1XJD_AGC	1ZRZ_AGC	2ACX_AGC	2ETR_AGC	2F2U_AGC	2I0E_AGC	2VD5_AGC	4AW2_AGC	2Z7Q_AGC	3G51_AGC	4FG8_CAMK	1A06_CAMK	1IA8_CAMK	2QHN_CAMK	1IG1_CAMK	1KWP_CAMK	1TKI_CAMK	1XWS_CAMK	1ZMU_CAMK	1ZWS_CAMK	2AC3_CAMK	2CN5_CAMK	2H6D_CAMK	2HW6_CAMK	2IWI_CAMK	2J90_CAMK	2JAM_CAMK	2JC6_CAMK	2Y7J_CAMK	2PHK_CAMK	2QNJ_CAMK	2V7O_CAMK	2VN9_CAMK	3BHH_CAMK	3C0G_CAMK	1CKI_CK1	2C47_CK1	2CHL_CK1	2CMW_CK1	3OP5_CK1	2JII_CK1	5UU1_CK1	2V62_CK1	1BI7_CMGC	1CM8_CMGC	2ZOQ_CMGC	4ZZN_CMGC	1ERK_CMGC	1H4L_CMGC	1HCK_CMGC	1I09_CMGC	1JNK_CMGC	1UA2_CMGC	3RGF_CMGC	1UKH_CMGC	1WBP_CMGC	1WFC_CMGC	1Z57_CMGC	2EU9_CMGC	2I6L_CMGC	3COI_CMGC	1JWH_Other	1MUO_Other	3FPQ_Other	1X8B_Other	2BUJ_Other	2JAV_Other	2OWB_Other	3CEK_Other	3COK_Other	1S9I_STE	1S9J_STE	1U5Q_STE	2BVA_STE	2C30_STE	5VIL_STE	2CLQ_STE	2DYL_STE	2F57_STE	2J51_STE	2J7T_STE	3CKW_STE	3COM_STE	1FGK_TK	1AD5_TK	1BYG_TK	1FMK_TK	1FPU_TK	1FVR_TK	1GJO_TK	1IRK_TK	1K2P_TK	5H3Q_TK	4ASZ_TK	1LUF_TK	1M14_TK	1MP8_TK	1MQB_TK	1PKG_TK	1R0P_TK	1RJB_TK	1SM2_TK	1U46_TK	1VR2_TK	1YVJ_TK	2B7A_TK	2DQ7_TK	2GSF_TK	2HEL_TK	2I1M_TK	2IVS_TK	2P0C_TK	2R2P_TK	2REI_TK	3BBT_TK	3BKB_TK	3CC6_TK	3LCK_TK	5HI2_TKL	3OMV_TKL	1UWH_TKL	5V5N_TKL	2EVA_TKL	4ZTN_TKL	2NRU_TKL	2QLU_TKL	4UY9_TKL	4UYA_TKL	
2F2U_AGC	41.633	41.5228	28.2985	30.5811	22.5475	37.0802	30.6612	41.0671	36.9207	64.7341	100.0	43.7539	50.2118	57.8519	24.5283	30.1837	26.6572	31.0087	28.992	28.3537	29.3832	39.6061	34.7708	27.0816	35.4827	28.8363	29.3342	31.8682	25.2253	21.3077	19.7976	26.3843	29.5676	30.4973	30.64	30.6441	41.6008	35.1509	34.3025	30.8854	36.8594	32.8844	30.2562	32.6959	31.5433	40.2516	36.1827	37.0743	36.2189	28.1853	43.8277	45.2088	42.7456	46.6006	29.6905	33.5229	41.0946	48.6034	30.3878	42.2888	43.5169	46.4201	47.2359	42.1929	42.9954	34.0112	47.5347	43.6554	22.6876	24.4629	24.7798	31.0565	23.2191	32.7662	22.4216	19.6209	35.9919	33.0219	37.9147	29.7385	32.4289	27.4493	25.7104	28.9142	35.0387	33.3574	31.5842	22.8321	25.2923	30.9726	49.1144	22.9252	44.5683	29.2026	35.4643	31.1785	37.1685	24.9408	32.8801	32.1281	27.8198	37.9386	23.2812	26.7466	33.332	36.8063	35.1848	21.7429	23.8876	29.6766	29.195	30.4026	25.785	32.0725	24.4061	37.3409	31.7954	23.2983	32.0953	30.516	29.1505	45.3227	28.3511	27.1087	22.1962	26.2653	25.9404	33.1885	33.4824	31.5644	33.7593	33.3583	38.8644	27.8906	
2I0E_AGC	50.2091	50.6228	39.9461	44.2743	14.0346	46.6157	44.7685	51.8972	25.4382	38.8747	43.7539	100.0	39.611	41.7838	35.5647	42.4696	37.7823	41.4053	40.1423	38.6715	41.792	43.8379	40.6292	36.1821	44.4775	40.7529	37.5913	41.915	36.7287	31.314	29.1478	36.9283	41.0514	40.0652	40.0694	43.0168	48.8152	45.3887	45.2043	41.6649	46.8457	41.9468	41.7163	44.3532	43.246	46.5596	42.6633	46.7557	46.1284	37.5929	47.7681	45.6234	44.0324	43.6901	38.664	43.4866	42.3717	47.7164	40.0378	44.5695	47.0355	44.7778	44.1615	46.6113	46.4286	41.1402	46.8029	45.0118	32.8739	35.9124	34.3062	38.6052	32.9123	43.7165	31.423	27.6997	47.453	44.2712	46.8457	38.8147	40.8396	41.1396	39.3156	42.0558	42.6278	41.9847	42.6483	34.8616	36.7779	40.7788	34.3895	31.9692	32.3831	39.8637	43.1288	41.7953	44.4988	34.849	42.0715	42.3172	35.7864	44.329	33.0889	36.9242	42.2819	43.3495	44.3945	30.9652	32.9294	40.3303	36.5791	42.0902	37.3869	39.9776	33.2739	44.5692	42.3947	32.2998	41.9248	40.8892	40.0408	36.949	39.138	37.6188	31.4852	36.3067	35.9916	43.3883	43.5926	42.0885	44.1282	43.2098	46.6083	37.6857	
2VD5_AGC	35.834	35.8214	27.8665	28.8073	22.8651	36.6196	27.0834	38.2601	39.8787	49.4075	50.2118	39.611	100.0	53.7486	23.547	28.1646	24.0158	27.2274	25.9592	25.2021	26.5016	33.929	31.0365	27.8973	32.0924	26.519	28.2395	28.6537	23.7782	19.9965	21.1277	24.0703	26.242	25.7466	31.1862	28.3963	37.4073	33.7128	32.8334	29.6791	35.8115	30.676	30.1293	31.8641	31.1324	36.8133	35.4793	34.3677	33.3196	28.0097	42.2851	43.5012	38.1678	41.9266	27.6274	32.7891	41.989	41.7076	29.6263	37.0732	36.8698	41.0056	43.9929	39.4092	39.6692	32.691	42.9179	38.8313	22.5691	22.9053	23.4366	31.1671	22.1897	31.7065	18.8076	17.9191	34.0013	29.8964	34.7187	28.2175	32.469	25.328	23.7657	26.1229	34.3849	29.4026	29.2877	20.6618	23.1271	28.7251	45.106	21.3148	47.6278	26.7774	33.993	28.3311	34.2026	22.739	35.6677	30.6412	26.483	34.998	22.0443	24.0805	29.8476	33.5519	31.8737	20.698	24.1617	28.553	31.0056	27.2863	23.7146	28.733	21.7784	33.8995	30.0128	22.1489	29.4945	28.6733	27.5181	49.467	25.6309	25.9164	20.3328	23.6679	23.8729	31.5226	31.8128	27.9068	29.5455	32.6736	35.6952	27.6413	
4AW2_AGC	40.7493	40.6797	27.6229	30.1658	24.8634	38.6679	29.483	39.7205	41.2262	56.42	57.8519	41.7838	53.7486	100.0	23.4196	29.3154	25.2025	28.9899	27.7612	26.9356	29.185	40.0822	36.7973	27.3679	34.1548	28.9759	29.2711	31.4221	24.0883	19.9385	19.6814	26.0739	29.484	28.6397	31.3515	30.1803	41.9019	35.5132	34.2625	30.8025	36.5151	33.1668	30.6172	33.114	32.2381	39.1782	36.4326	36.9856	35.8866	27.1131	42.974	48.4767	44.4713	48.3427	28.6745	32.803	43.0209	47.5965	30.155	40.4179	41.8801	47.2956	47.6468	44.6119	46.4627	33.962	46.4238	43.7307	22.4608	24.397	24.0407	31.3401	23.1944	33.3658	21.5354	18.7735	35.8528	31.8733	36.9461	27.7078	31.5764	26.7416	24.8018	27.8274	34.8093	32.4043	30.6029	22.1209	24.5716	29.3701	51.2413	21.1871	50.0876	27.9979	35.3381	29.7199	36.0717	23.8615	33.2341	32.1548	26.7828	37.0823	22.6181	25.2037	32.1797	35.5437	34.2706	20.8415	23.0664	29.0425	29.5533	30.3995	24.7045	30.6887	23.3269	36.9619	30.5298	22.264	31.1662	28.9248	27.8574	49.555	27.4407	26.8658	21.4367	25.2807	25.2821	32.0588	32.3665	31.2672	33.3409	33.4504	38.3832	27.146	
2Z7Q_AGC	35.8207	36.2984	47.1283	44.2492	6.9211	39.5681	43.5778	40.6204	12.7646	22.1323	24.5283	35.5647	23.547	23.4196	100.0	53.1004	38.3553	37.8325	40.2907	40.2807	42.713	34.0336	33.6044	38.9423	40.5343	42.1024	33.8483	39.7001	43.1761	39.8801	37.2662	40.3564	40.1512	37.0615	41.4149	43.51	37.5417	38.2117	40.8773	39.4636	39.1397	41.1335	42.3214	41.1167	42.3295	35.9972	37.9398	38.6382	39.2377	42.5137	36.0986	30.926	32.1168	28.9914	42.7368	43.9481	31.1434	30.4599	42.7449	34.6963	32.9357	31.0014	31.8998	34.8494	31.9331	41.3091	33.0361	33.2833	44.8279	38.6206	41.9114	37.1148	40.3444	41.3395	31.8791	38.1667	39.1277	39.8022	40.1405	40.1773	39.2749	42.0473	42.5109	41.3968	39.1868	37.3678	39.3789	41.2895	38.4977	41.8562	17.6439	41.5465	17.5498	40.311	39.2812	41.3079	39.445	40.9976	37.4407	40.6604	34.1159	35.4966	38.1897	39.8897	41.8434	40.5203	39.2957	37.6354	42.4007	43.9491	36.2319	40.761	41.5563	39.9901	35.7869	37.8446	45.1646	41.3686	40.4468	37.958	40.4932	24.9969	38.9527	40.0485	40.5431	41.8214	41.5728	37.5588	37.3144	40.4806	39.8885	41.1983	37.3776	39.9509	
3G51_AGC	44.5569	45.0123	47.8707	48.89	9.1146	48.7121	46.9941	45.557	16.5951	27.1144	30.1837	42.4696	28.1646	29.3154	53.1004	100.0	39.8335	41.049	41.4876	40.8534	47.2908	40.553	41.6941	40.0709	44.821	47.5367	36.0478	43.447	43.0513	38.2081	34.7576	43.462	43.5523	40.5343	45.1804	46.3824	45.0481	43.3351	46.4081	43.2918	44.6726	43.6716	46.2589	45.2032	46.5665	41.2171	41.7137	42.7833	43.1341	42.5231	43.0531	38.0253	38.1476	35.4885	43.228	48.5417	36.0181	36.7976	45.4205	40.4339	38.0305	38.4783	37.9262	42.272	39.4457	45.5594	40.2592	39.324	43.041	41.2485	41.7041	39.5887	39.7108	46.325	33.1156	35.4517	44.6117	44.2291	45.9208	41.8236	42.2795	44.1706	43.8354	44.4553	43.2324	41.9876	44.269	43.1427	41.0148	43.8805	22.9888	38.597	22.2988	41.7926	41.9733	43.8936	44.0255	40.4161	40.5539	44.2824	34.4003	40.6181	37.8916	41.3955	45.1102	44.3894	42.5641	36.0841	40.95	45.5614	36.6992	43.9537	42.7573	42.0078	36.3403	42.6361	47.5376	39.3007	43.7745	40.3206	42.6644	29.2103	39.9928	42.2745	39.9547	42.5206	42.8254	40.5185	40.4088	45.0966	45.4786	46.1395	44.0808	42.7831	
4FG8_CAMK	36.849	37.0848	38.8833	42.7304	7.4166	38.6315	40.6578	40.1575	13.421	23.0476	26.6572	37.7823	24.0158	25.2025	38.3553	39.8335	100.0	57.7181	41.6406	40.9128	43.681	35.6797	35.6563	37.8635	39.3825	43.2238	39.1789	40.5638	40.7174	42.2492	34.1314	40.9034	44.3273	50.4021	38.8804	41.5304	38.4674	42.2418	43.6553	43.7372	38.4548	38.4171	38.589	37.6326	37.6195	40.5578	33.228	37.8991	39.1449	39.8621	35.9217	34.1539	36.1603	32.7836	39.8025	40.1915	33.0571	34.4402	38.7655	38.3307	37.621	33.128	35.4879	37.4489	31.1127	39.5808	33.9028	35.4999	39.5309	40.2463	41.1729	36.4992	38.1198	38.1805	40.282	34.3994	40.3961	41.3403	42.0771	39.0212	38.4486	44.1142	44.0639	41.6366	37.3767	43.4837	41.7875	42.6514	41.9739	40.5073	19.655	37.5085	18.1181	38.9384	41.3729	38.9991	35.3255	39.6962	35.7068	38.2895	35.7254	39.1782	38.07	39.4298	41.0294	36.2775	38.8407	36.3938	35.794	39.9026	35.3721	40.3964	39.5861	41.6925	38.4755	39.1098	39.3183	36.584	40.9642	40.4285	38.9724	25.1977	39.7021	38.918	38.2638	40.3387	40.8383	38.4529	38.311	42.6937	42.5705	38.8544	38.5412	38.4763	
1A06_CAMK	40.8678	41.058	38.8669	43.3968	8.7907	41.921	41.3745	42.935	15.909	26.7562	31.0087	41.4053	27.2274	28.9899	37.8325	41.049	57.7181	100.0	42.0753	41.3698	44.1145	38.951	39.1229	37.4812	41.9484	43.7082	41.0959	42.2718	40.504	40.6693	32.322	41.2365	44.8235	52.6283	40.0879	41.8892	42.0311	45.5671	46.3523	45.8913	40.9845	39.9814	39.0591	38.6467	38.4316	44.3683	35.8515	40.7134	41.8245	40.5876	40.0999	38.0106	39.7154	36.8885	41.1089	42.3225	36.2201	39.0315	39.6079	42.4326	41.7484	37.6093	39.8108	41.2717	34.9806	41.3466	38.507	39.2293	38.4407	39.678	41.0009	38.3462	37.1139	39.9992	40.2188	33.7127	42.6653	43.0835	45.4021	40.3253	40.0401	43.3385	42.8088	42.2521	39.4875	45.6436	43.6429	41.062	41.4912	41.6166	23.3244	37.0857	21.2981	39.8845	43.9	40.2234	37.4179	38.9761	37.7638	40.047	36.2387	42.0723	37.5006	40.0792	42.7683	39.2907	40.6722	35.4264	35.3457	41.0517	36.4903	41.358	39.2721	43.2035	38.3838	42.6423	40.9142	35.4999	42.7726	41.9035	39.8512	28.5732	40.1622	39.0981	37.2991	40.5671	40.7547	40.4754	40.5141	43.7186	44.2478	40.9754	42.264	40.009	
1IA8_CAMK	38.6855	39.2723	42.5973	43.9958	8.1965	39.5561	42.3351	42.8016	15.4049	25.886	28.992	40.1423	25.9592	27.7612	40.2907	41.4876	41.6406	42.0753	100.0	72.4419	44.0291	39.9815	35.7326	39.3738	44.0108	41.344	38.0238	43.2531	42.1204	38.191	36.4098	41.4885	41.8058	42.5722	40.6988	44.3413	41.4671	43.6919	44.4741	43.897	42.0204	40.7856	41.3619	41.7452	42.1966	42.113	37.3717	42.2788	43.307	39.8185	39.0313	36.249	38.1498	34.824	44.3705	43.3481	35.7492	37.9688	42.0474	39.2093	40.7663	36.9265	36.8152	38.5601	36.6336	41.4508	35.3708	38.0054	41.6006	39.8646	41.1507	39.5573	41.1264	43.9195	36.0691	35.66	44.8729	42.5223	43.9216	43.1463	40.4311	44.0904	43.3863	43.9508	41.1773	45.2434	45.631	41.7377	42.2061	45.6433	21.2746	41.1214	21.0149	42.572	44.5324	45.9199	41.3214	39.507	39.1558	43.7963	39.9658	42.5442	41.0098	42.2123	43.2595	40.3658	40.6291	37.0428	40.0112	43.9083	36.8092	44.0033	45.7411	43.5919	40.5015	41.7583	44.5825	39.8654	44.8685	44.2035	45.4471	29.1183	45.053	44.1785	39.4856	41.2431	40.8729	43.9173	43.7911	43.5876	43.0362	42.79	42.9268	42.0003	
2QHN_CAMK	37.111	37.6053	41.5083	42.363	7.8749	38.1516	41.4652	41.8559	14.7705	25.3031	28.3537	38.6715	25.2021	26.9356	40.2807	40.8534	40.9128	41.3698	72.4419	100.0	43.065	39.5777	34.7365	38.3611	43.8586	40.9324	37.9293	43.4226	42.4581	38.0638	35.4414	42.0717	40.9142	41.57	39.8293	43.5407	40.8481	42.6547	42.952	42.5587	40.1105	39.9622	39.9555	40.1261	40.3033	40.534	35.7762	40.6291	41.8288	40.0912	38.4782	35.3196	37.2085	33.789	43.8843	42.7704	35.1379	37.1411	41.185	38.8563	40.4834	36.104	36.5702	37.4964	35.5585	41.64	35.093	37.3738	41.012	39.0362	40.5252	38.7225	40.5385	42.9211	36.1245	36.4307	43.0317	41.0555	42.0839	43.0183	39.67	42.5948	42.1776	43.6381	40.625	44.9222	44.6158	40.9059	41.673	44.798	20.6421	40.5457	20.3029	41.4868	42.9227	44.661	39.8622	38.8527	37.5226	42.6726	37.9426	41.6469	40.7767	41.9147	41.8855	40.6616	39.058	36.3602	39.4	43.2374	35.5707	42.9354	44.4075	43.3519	40.1473	40.3935	43.2288	39.702	43.8951	43.0094	45.1645	28.5427	44.4427	43.0192	39.6297	41.0418	40.8419	41.973	41.8653	42.3881	41.8343	41.0211	41.6819	41.0996	
1IG1_CAMK	45.262	45.6115	45.004	50.0664	8.9052	45.8116	43.5791	44.3347	16.3369	26.513	29.3832	41.792	26.5016	29.185	42.713	47.2908	43.681	44.1145	44.0291	43.065	100.0	41.4025	45.0959	40.442	44.4004	56.3409	37.3519	45.0788	40.0372	39.9901	32.9545	49.2046	48.1599	45.7206	43.3629	47.334	45.6069	45.0815	46.1108	44.1441	43.4565	42.2303	44.4055	43.6622	44.7671	40.9205	38.9932	42.1373	42.4845	41.7548	40.3248	38.6762	39.1269	35.8762	43.2194	45.8302	37.6739	37.4274	43.1682	37.4983	38.7186	38.8266	37.7424	41.4281	38.7799	44.0215	38.3512	38.8245	42.1315	45.3155	41.4212	36.4924	39.4804	46.3639	35.8158	34.0537	45.1343	42.9292	45.5756	39.6914	40.6276	46.9295	45.8917	43.1793	41.5023	45.8274	44.415	45.3216	43.7772	41.6481	23.3176	36.8641	22.2213	42.5048	43.7618	42.1383	42.8228	39.9595	37.6462	41.7995	35.5488	40.2636	38.4901	40.7801	43.1949	40.7573	43.7651	36.6315	36.0278	42.4245	34.9906	45.9636	43.3596	42.9988	37.2524	43.7223	44.1743	35.9684	43.5177	39.9775	39.1248	29.5018	41.4218	44.7373	38.819	42.7687	41.9309	40.1492	40.1733	48.9031	48.6673	42.7735	43.5076	40.0676	
1KWP_CAMK	43.011	43.0835	37.1794	41.8114	13.3101	43.0591	37.9998	44.3068	22.8148	35.5474	39.6061	43.8379	33.929	40.0822	34.0336	40.553	35.6797	38.951	39.9815	39.5777	41.4025	100.0	43.6863	34.7263	44.9196	40.9344	37.201	44.0118	35.8072	31.3394	27.0333	39.7458	42.4165	40.9713	41.3185	43.2607	49.3242	44.3275	44.3767	41.3081	41.4826	41.3299	40.5033	41.3585	41.1286	43.9261	39.4436	42.1808	42.8676	36.4096	45.1428	46.5037	45.1507	43.7759	38.137	41.7096	41.7915	46.9757	38.186	45.4059	47.807	45.3326	44.8912	45.6107	44.2283	43.5589	46.2273	43.2701	34.5402	37.7622	35.8096	38.7661	36.4713	43.3966	34.5479	30.2156	44.6814	41.7148	44.2467	37.924	40.3204	38.8682	36.9583	41.8363	43.909	43.0904	42.396	36.4019	38.5129	41.4289	32.5784	31.5469	31.077	40.2191	43.1784	41.7524	42.2195	36.8105	37.9496	42.4015	34.5374	47.9659	36.1108	39.0024	41.4365	42.4589	40.7254	31.5809	33.0163	40.1915	34.8374	43.4302	38.0655	42.8814	35.8811	43.1754	41.9807	33.5831	42.9748	39.5035	41.2108	38.6738	40.3261	39.7609	35.1132	38.3528	38.6326	41.4119	41.5944	42.6369	43.7026	41.9152	45.1494	38.3874	
1TKI_CAMK	46.702	47.0268	38.079	41.9793	12.5481	47.1538	38.0621	41.9096	21.8372	31.8508	34.7708	40.6292	31.0365	36.7973	33.6044	41.6941	35.6563	39.1229	35.7326	34.7365	45.0959	43.6863	100.0	35.7612	41.2827	45.203	36.0793	40.4344	35.4099	31.582	26.2803	39.6288	42.9745	41.7253	41.7926	40.6827	46.0093	43.9019	45.3932	42.9818	46.1507	40.8384	38.8649	39.4737	40.1127	40.6619	39.4982	39.6304	39.5082	35.9834	43.0941	44.0247	41.6607	40.2133	36.3599	42.3649	40.854	42.8404	37.2413	38.8117	40.7015	43.0096	41.7059	46.4732	43.9872	41.5534	41.3173	43.195	34.2231	37.8716	38.299	35.1596	34.6368	43.5265	31.9963	29.4441	44.5881	41.8436	46.5826	35.669	39.7938	38.2197	36.3467	38.079	42.3316	40.4828	40.3905	34.5134	38.3439	37.7888	30.8286	31.013	28.7642	38.402	42.2479	37.9953	42.9268	35.8741	39.2876	41.6112	33.4837	40.2279	33.246	37.2372	40.9064	41.5639	42.7933	32.1208	31.3936	38.1415	33.3626	41.6608	35.7804	41.0851	34.2124	45.9484	40.0819	30.3269	42.2429	38.2809	35.9958	33.243	36.164	38.3076	33.8086	39.1341	37.7392	39.0323	39.1703	45.2465	46.5148	42.3386	44.0434	37.5742	
1XWS_CAMK	35.94	36.4956	41.1205	39.3687	8.2858	38.5597	39.156	43.3376	15.0303	23.9911	27.0816	36.1821	27.8973	27.3679	38.9423	40.0709	37.8635	37.4812	39.3738	38.3611	40.442	34.7263	35.7612	100.0	36.4825	41.0189	39.9757	36.0487	40.5149	37.0281	44.3868	37.7771	37.4887	35.1948	45.7171	41.6003	36.6588	40.1205	41.5595	40.5783	41.674	39.1087	37.7383	38.1164	38.1049	36.3242	37.4862	37.9299	37.9958	42.4987	35.3038	33.8799	33.8612	30.8997	39.4064	41.9741	35.1982	33.4448	40.4596	34.4739	34.0823	33.1175	34.2555	38.1431	33.6936	39.7784	32.5435	36.2501	40.2994	36.5241	41.6394	40.9856	37.3325	41.8946	30.9941	31.5666	43.7433	42.2276	42.9993	40.8732	43.1828	38.8546	38.0714	37.4186	44.6891	37.1502	36.893	35.0197	37.7621	39.9442	20.2156	37.1595	19.942	35.8838	39.5588	37.0313	41.3641	38.219	43.5617	41.5993	36.2387	36.7218	39.6002	36.0994	38.19	39.4901	39.1342	39.879	40.9436	40.721	42.8301	41.2477	38.7453	41.5509	37.1863	38.9714	42.5197	37.1852	41.5372	40.9167	39.8162	29.5602	38.5958	39.4561	37.7081	38.7849	39.2567	41.6906	41.5404	38.7708	38.3732	44.743	40.0384	40.6925	
1ZMU_CAMK	43.9753	44.2389	43.7541	44.5058	10.4166	46.275	40.3728	46.6364	19.4908	32.6253	35.4827	44.4775	32.0924	34.1548	40.5343	44.821	39.3825	41.9484	44.0108	43.8586	44.4004	44.9196	41.2827	36.4825	100.0	42.4025	38.0028	47.0525	42.0407	36.3564	30.1021	42.1776	44.0385	42.6502	40.988	45.5846	55.545	45.1415	45.5199	43.9151	45.5208	45.0579	44.7233	45.458	45.7936	45.7841	41.3836	46.2811	47.4726	41.1473	48.755	43.3681	43.5538	40.7521	43.9021	46.0031	41.9016	45.7812	40.8204	43.4741	48.0199	42.6861	44.2129	43.2725	42.05	47.212	44.2366	45.1038	39.1928	38.3401	39.8395	39.5715	41.0337	44.963	35.4044	34.4124	46.2047	43.6819	46.096	43.5399	44.971	42.0513	40.9937	45.36	45.788	44.1556	45.0017	39.3006	38.829	46.9255	27.2778	38.682	27.0942	42.9456	48.1175	45.6337	43.773	39.3359	40.5445	45.1335	38.0193	45.8948	37.3337	41.143	43.1272	44.7652	43.9301	34.0212	36.8015	42.914	37.9979	46.0712	41.6889	45.1818	36.9463	44.3168	47.8055	38.028	44.0059	42.3425	44.2479	34.8692	42.6976	41.2964	37.6173	41.3238	40.6355	41.9609	42.1643	44.311	45.0976	42.0435	43.4274	40.3977	
1ZWS_CAMK	42.8182	43.2887	42.1364	48.6615	8.7887	45.7796	42.7054	43.4324	15.9019	25.6192	28.8363	40.7529	26.519	28.9759	42.1024	47.5367	43.2238	43.7082	41.344	40.9324	56.3409	40.9344	45.203	41.0189	42.4025	100.0	39.2952	45.6085	40.1554	39.2101	32.3097	51.7199	47.3009	44.2242	44.9575	45.6756	44.9826	43.9959	44.7476	42.9652	42.432	40.3492	41.8799	39.997	41.527	38.7846	35.8249	39.4786	39.9789	41.1351	39.7324	38.0301	38.1338	35.0038	40.4496	44.5142	36.3213	36.2902	40.9196	37.8385	38.1858	38.9702	37.5064	42.1396	38.8027	44.5059	37.9798	37.9251	41.7591	44.0007	40.7743	36.1673	38.5828	46.3942	34.6031	33.8947	44.3507	42.7335	43.9552	39.2196	40.1222	44.4132	43.765	41.6767	41.6346	45.015	43.6931	44.3101	42.0616	39.9939	22.9327	35.0018	21.6013	39.771	41.0952	39.1672	40.9766	38.1502	36.7422	40.3046	32.1779	40.2585	37.2857	39.1066	40.3815	40.5586	40.4213	36.1215	35.1733	42.0002	34.1128	43.1597	40.2244	41.4908	35.6667	41.1229	41.5666	34.7579	42.4561	38.506	38.8311	29.2509	39.7961	41.7919	38.0096	40.5467	40.6518	38.8833	38.9848	46.4727	46.4364	42.6527	43.4916	40.4591	
2AC3_CAMK	34.0071	34.4181	34.0182	37.0688	8.8338	35.6107	36.0411	40.3861	16.4693	25.2083	29.3342	37.5913	28.2395	29.2711	33.8483	36.0478	39.1789	41.0959	38.0238	37.9293	37.3519	37.201	36.0793	39.9757	38.0028	39.2952	100.0	40.6864	37.5743	40.524	32.4419	39.9396	38.4249	39.819	42.4961	39.0175	38.4982	42.7403	41.4148	42.9427	40.2302	36.5549	32.4547	32.701	32.7317	37.7079	34.0929	37.4641	38.5028	39.2789	37.0327	35.481	34.9283	33.2386	37.7053	37.995	35.6233	36.7322	35.1815	37.8659	39.8168	35.4767	36.4844	39.1652	36.6556	39.5592	36.1009	34.8142	36.8691	35.2363	41.1143	41.3078	35.0574	39.4991	32.5654	32.7025	41.2563	41.1931	41.7337	39.5385	39.8779	36.8754	36.3399	37.1752	40.9307	39.5396	37.4527	32.2037	35.2668	37.6653	22.3615	35.13	22.2744	35.8836	40.1804	35.0227	37.1579	35.7278	39.1391	39.2095	36.2669	38.7345	37.3851	35.6903	36.3831	38.9429	38.0551	38.2402	34.1205	39.8233	41.2882	38.4717	34.8922	39.1631	35.1907	39.6316	37.5827	32.4165	39.7104	40.0058	37.852	32.2375	37.0907	34.7772	34.9022	36.641	36.3627	41.5449	41.7258	38.338	38.6935	41.1391	39.125	40.7587	
2CN5_CAMK	39.4459	39.8377	39.4727	45.4142	9.468	42.7549	40.9723	42.2981	17.5631	28.7244	31.8682	41.915	28.6537	31.4221	39.7001	43.447	40.5638	42.2718	43.2531	43.4226	45.0788	44.0118	40.4344	36.0487	47.0525	45.6085	40.6864	100.0	40.0244	37.3343	30.1022	45.0788	48.3117	43.9805	42.1397	45.929	46.3842	44.804	44.1505	43.729	42.6009	41.6941	39.723	40.1166	40.6483	42.0375	37.2944	42.8944	44.0816	39.2223	42.9261	40.1014	40.5424	37.6959	43.0791	43.4359	38.5243	41.1662	38.807	40.9527	44.8965	42.1537	40.3217	42.9663	40.5869	44.4639	40.9247	38.3958	39.5422	41.6088	38.8739	37.1616	40.1515	45.9256	35.62	35.7116	43.0399	42.2324	42.0439	39.5504	40.0244	41.9833	41.0904	44.0172	41.4846	46.7678	45.2701	41.8115	39.0638	42.7209	24.5858	37.0517	24.2467	41.9979	44.309	42.4041	39.5391	39.3515	36.0716	41.6323	34.6307	43.7092	38.1468	40.0632	42.1648	43.699	41.6808	36.0904	34.5884	44.0932	35.4899	43.3746	39.9904	42.9722	36.6638	41.7111	42.3098	37.0301	42.8803	38.8871	42.148	32.2155	44.1775	39.7202	36.9119	39.884	39.2514	40.5349	40.7067	44.1252	44.3279	41.0329	42.2487	40.1766	
2H6D_CAMK	34.1525	34.6416	43.0542	40.4278	6.9659	38.0853	41.7223	40.6589	12.8172	21.9588	25.2253	36.7287	23.7782	24.0883	43.1761	43.0513	40.7174	40.504	42.1204	42.4581	40.0372	35.8072	35.4099	40.5149	42.0407	40.1554	37.5743	40.0244	100.0	39.5929	38.3629	40.2433	39.8745	37.9331	40.8797	44.049	38.34	40.195	41.5513	42.2405	41.0831	40.5439	39.8512	39.3956	39.2867	36.1404	34.3175	36.8136	37.9435	42.6167	36.2908	31.8148	33.1811	29.8785	40.5339	42.837	32.1714	33.5759	40.4683	36.7456	36.7585	31.6891	33.6506	36.6011	32.4813	41.2337	32.4599	35.4707	41.0877	38.3111	43.8649	38.5527	41.3101	41.4066	35.9063	39.5957	41.4464	41.9967	40.7255	43.8668	41.6751	41.5133	41.661	45.5156	42.4668	38.5792	40.8094	38.1597	42.597	43.1018	17.9434	41.2309	17.3608	39.0345	39.7051	42.0744	38.7626	41.4195	39.9623	44.7136	35.9038	38.4217	41.0098	42.923	40.8274	42.1513	38.7549	38.6378	41.9546	43.3317	35.6446	41.7926	41.5722	43.0599	40.9914	38.7781	42.648	42.2338	44.1804	43.9012	44.8526	25.1264	42.5665	40.1239	42.5644	44.091	43.8025	40.3061	39.9574	41.6688	41.2464	40.4005	37.6564	40.4084	
